date,state,rate
201601,Alabama,6.3
201601,Alaska,7.3
201601,Arizona,5.3
201601,Arkansas,4.7
201601,California,5.8
201601,Colorado,3.2
201601,Connecticut,6.0
201601,Delaware,5.1
201601,District of Columbia,6.6
201601,Florida,5.1
201601,Georgia,5.4
201601,Hawaii,3.2
201601,Idaho,4.7
201601,Illinois,7.1
201601,Indiana,5.1
201601,Iowa,4.5
201601,Kansas,4.4
201601,Kentucky,6.2
201601,Louisiana,6.3
201601,Maine,4.6
201601,Maryland,4.9
201601,Massachusetts,4.9
201601,Michigan,5.1
201601,Minnesota,4.5
201601,Mississippi,7.0
201601,Missouri,4.7
201601,Montana,5.1
201601,Nebraska,3.4
201601,Nevada,6.5
201601,New Hampshire,3.2
201601,New Jersey,4.7
201601,New Mexico,6.5
201601,New York,5.4
201601,North Carolina,5.7
201601,North Dakota,3.7
201601,Ohio,5.7
201601,Oklahoma,4.3
201601,Oregon,5.1
201601,Pennsylvania,5.2
201601,Rhode Island,6.3
201601,South Carolina,5.6
201601,South Dakota,3.2
201601,Tennessee,4.9
201601,Texas,4.4
201601,Utah,3.7
201601,Vermont,4.0
201601,Virginia,4.4
201601,Washington,6.5
201601,West Virginia,7.4
201601,Wisconsin,5.2
201601,Wyoming,5.8
201602,Alabama,6.4
201602,Alaska,7.7
201602,Arizona,5.2
201602,Arkansas,4.7
201602,California,5.7
201602,Colorado,3.3
201602,Connecticut,6.0
201602,Delaware,4.8
201602,District of Columbia,6.9
201602,Florida,4.7
201602,Georgia,5.6
201602,Hawaii,3.1
201602,Idaho,4.5
201602,Illinois,7.0
201602,Indiana,5.4
201602,Iowa,4.5
201602,Kansas,4.2
201602,Kentucky,6.3
201602,Louisiana,5.8
201602,Maine,4.5
201602,Maryland,4.9
201602,Massachusetts,4.7
201602,Michigan,5.0
201602,Minnesota,4.4
201602,Mississippi,6.2
201602,Missouri,5.0
201602,Montana,5.1
201602,Nebraska,3.3
201602,Nevada,5.7
201602,New Hampshire,3.1
201602,New Jersey,4.8
201602,New Mexico,6.3
201602,New York,5.4
201602,North Carolina,5.7
201602,North Dakota,3.7
201602,Ohio,5.6
201602,Oklahoma,4.6
201602,Oregon,5.2
201602,Pennsylvania,5.3
201602,Rhode Island,6.3
201602,South Carolina,5.6
201602,South Dakota,3.2
201602,Tennessee,4.5
201602,Texas,4.3
201602,Utah,3.8
201602,Vermont,3.7
201602,Virginia,4.2
201602,Washington,6.3
201602,West Virginia,7.8
201602,Wisconsin,5.5
201602,Wyoming,5.6
201603,Alabama,6.1
201603,Alaska,7.3
201603,Arizona,5.1
201603,Arkansas,4.0
201603,California,5.6
201603,Colorado,3.5
201603,Connecticut,6.2
201603,Delaware,4.4
201603,District of Columbia,6.3
201603,Florida,4.7
201603,Georgia,5.4
201603,Hawaii,3.2
201603,Idaho,4.2
201603,Illinois,6.8
201603,Indiana,5.5
201603,Iowa,4.3
201603,Kansas,4.0
201603,Kentucky,5.9
201603,Louisiana,6.1
201603,Maine,4.2
201603,Maryland,4.8
201603,Massachusetts,4.6
201603,Michigan,5.1
201603,Minnesota,4.6
201603,Mississippi,5.6
201603,Missouri,4.8
201603,Montana,5.0
201603,Nebraska,3.2
201603,Nevada,5.9
201603,New Hampshire,3.0
201603,New Jersey,5.0
201603,New Mexico,6.1
201603,New York,5.2
201603,North Carolina,5.4
201603,North Dakota,4.0
201603,Ohio,5.4
201603,Oklahoma,4.5
201603,Oregon,4.9
201603,Pennsylvania,5.5
201603,Rhode Island,6.0
201603,South Carolina,5.6
201603,South Dakota,2.9
201603,Tennessee,4.1
201603,Texas,4.5
201603,Utah,3.8
201603,Vermont,3.5
201603,Virginia,4.2
201603,Washington,6.0
201603,West Virginia,7.2
201603,Wisconsin,5.0
201603,Wyoming,5.7
201604,Alabama,5.4
201604,Alaska,6.9
201604,Arizona,5.4
201604,Arkansas,3.4
201604,California,5.2
201604,Colorado,3.5
201604,Connecticut,5.6
201604,Delaware,4.0
201604,District of Columbia,5.5
201604,Florida,4.5
201604,Georgia,5.0
201604,Hawaii,3.1
201604,Idaho,3.6
201604,Illinois,6.2
201604,Indiana,4.8
201604,Iowa,3.6
201604,Kansas,3.4
201604,Kentucky,4.7
201604,Louisiana,5.8
201604,Maine,3.8
201604,Maryland,4.4
201604,Massachusetts,3.8
201604,Michigan,4.3
201604,Minnesota,3.8
201604,Mississippi,5.0
201604,Missouri,4.2
201604,Montana,3.9
201604,Nebraska,3.0
201604,Nevada,6.1
201604,New Hampshire,2.6
201604,New Jersey,4.9
201604,New Mexico,5.8
201604,New York,4.6
201604,North Carolina,5.0
201604,North Dakota,3.2
201604,Ohio,4.8
201604,Oklahoma,4.2
201604,Oregon,4.5
201604,Pennsylvania,5.2
201604,Rhode Island,4.9
201604,South Carolina,5.2
201604,South Dakota,2.6
201604,Tennessee,3.9
201604,Texas,4.2
201604,Utah,3.8
201604,Vermont,3.0
201604,Virginia,3.4
201604,Washington,5.6
201604,West Virginia,6.2
201604,Wisconsin,4.3
201604,Wyoming,5.8
201605,Alabama,5.7
201605,Alaska,6.6
201605,Arizona,5.5
201605,Arkansas,3.8
201605,California,4.7
201605,Colorado,3.6
201605,Connecticut,5.4
201605,Delaware,3.9
201605,District of Columbia,5.2
201605,Florida,4.4
201605,Georgia,4.7
201605,Hawaii,3.1
201605,Idaho,3.3
201605,Illinois,5.6
201605,Indiana,4.3
201605,Iowa,3.4
201605,Kansas,3.6
201605,Kentucky,5.0
201605,Louisiana,6.1
201605,Maine,3.5
201605,Maryland,4.1
201605,Massachusetts,3.8
201605,Michigan,4.5
201605,Minnesota,3.3
201605,Mississippi,6.1
201605,Missouri,4.0
201605,Montana,3.6
201605,Nebraska,2.8
201605,Nevada,6.2
201605,New Hampshire,2.6
201605,New Jersey,4.9
201605,New Mexico,6.0
201605,New York,4.2
201605,North Carolina,4.7
201605,North Dakota,2.9
201605,Ohio,4.6
201605,Oklahoma,4.8
201605,Oregon,4.3
201605,Pennsylvania,5.5
201605,Rhode Island,5.3
201605,South Carolina,4.8
201605,South Dakota,2.6
201605,Tennessee,3.8
201605,Texas,4.2
201605,Utah,3.8
201605,Vermont,2.8
201605,Virginia,3.6
201605,Washington,5.5
201605,West Virginia,5.8
201605,Wisconsin,3.8
201605,Wyoming,5.4
201606,Alabama,6.5
201606,Alaska,6.7
201606,Arizona,6.2
201606,Arkansas,4.2
201606,California,5.7
201606,Colorado,4.0
201606,Connecticut,5.9
201606,Delaware,4.7
201606,District of Columbia,6.1
201606,Florida,4.9
201606,Georgia,5.5
201606,Hawaii,3.9
201606,Idaho,3.6
201606,Illinois,6.0
201606,Indiana,4.6
201606,Iowa,4.1
201606,Kansas,4.4
201606,Kentucky,5.4
201606,Louisiana,7.0
201606,Maine,3.7
201606,Maryland,4.5
201606,Massachusetts,4.3
201606,Michigan,4.9
201606,Minnesota,4.0
201606,Mississippi,6.8
201606,Missouri,4.9
201606,Montana,4.2
201606,Nebraska,3.3
201606,Nevada,6.8
201606,New Hampshire,2.8
201606,New Jersey,4.9
201606,New Mexico,7.0
201606,New York,4.5
201606,North Carolina,5.1
201606,North Dakota,3.5
201606,Ohio,4.9
201606,Oklahoma,5.3
201606,Oregon,5.3
201606,Pennsylvania,5.6
201606,Rhode Island,5.1
201606,South Carolina,5.6
201606,South Dakota,2.8
201606,Tennessee,5.0
201606,Texas,4.8
201606,Utah,4.2
201606,Vermont,3.4
201606,Virginia,4.0
201606,Washington,5.5
201606,West Virginia,6.1
201606,Wisconsin,4.4
201606,Wyoming,5.6
201607,Alabama,5.8
201607,Alaska,6.1
201607,Arizona,6.3
201607,Arkansas,4.3
201607,California,5.9
201607,Colorado,3.6
201607,Connecticut,5.6
201607,Delaware,4.5
201607,District of Columbia,6.2
201607,Florida,5.1
201607,Georgia,5.4
201607,Hawaii,3.4
201607,Idaho,3.6
201607,Illinois,5.6
201607,Indiana,4.4
201607,Iowa,4.0
201607,Kansas,4.9
201607,Kentucky,5.2
201607,Louisiana,6.9
201607,Maine,3.7
201607,Maryland,4.6
201607,Massachusetts,4.0
201607,Michigan,5.4
201607,Minnesota,3.7
201607,Mississippi,6.5
201607,Missouri,5.2
201607,Montana,3.9
201607,Nebraska,3.5
201607,Nevada,6.5
201607,New Hampshire,2.9
201607,New Jersey,5.6
201607,New Mexico,7.1
201607,New York,5.0
201607,North Carolina,5.0
201607,North Dakota,2.8
201607,Ohio,4.8
201607,Oklahoma,5.2
201607,Oregon,5.7
201607,Pennsylvania,6.1
201607,Rhode Island,5.6
201607,South Carolina,5.4
201607,South Dakota,2.5
201607,Tennessee,4.9
201607,Texas,5.1
201501,Alabama,6.4
201501,Alaska,7.2
201501,Arizona,6.6
201501,Arkansas,6.5
201501,California,7.2
201501,Colorado,4.8
201501,Connecticut,6.6
201501,Delaware,5.5
201501,District of Columbia,7.8
201501,Florida,5.9
201501,Georgia,6.5
201501,Hawaii,4.1
201501,Idaho,5.2
201501,Illinois,6.8
201501,Indiana,6.1
201501,Iowa,4.8
201501,Kansas,4.8
201501,Kentucky,6.1
201501,Louisiana,7.3
201501,Maine,5.9
201501,Maryland,5.9
201501,Massachusetts,5.8
201501,Michigan,6.7
201501,Minnesota,4.7
201501,Mississippi,7.4
201501,Missouri,6.0
201501,Montana,5.3
201501,Nebraska,3.4
201501,Nevada,7.5
201501,New Hampshire,4.4
201501,New Jersey,6.9
201501,New Mexico,6.7
201501,New York,6.4
201501,North Carolina,6.0
201501,North Dakota,3.4
201501,Ohio,6.0
201501,Oklahoma,4.4
201501,Oregon,6.4
201501,Pennsylvania,6.0
201501,Rhode Island,7.5
201501,South Carolina,6.9
201501,South Dakota,4.0
201501,Tennessee,6.6
201501,Texas,4.7
201501,Utah,3.9
201501,Vermont,4.4
201501,Virginia,5.1
201501,Washington,6.5
201501,West Virginia,7.4
201501,Wisconsin,5.4
201501,Wyoming,4.6
201502,Alabama,6.2
201502,Alaska,7.4
201502,Arizona,6.2
201502,Arkansas,6.1
201502,California,6.9
201502,Colorado,4.7
201502,Connecticut,6.5
201502,Delaware,5.3
201502,District of Columbia,7.6
201502,Florida,5.6
201502,Georgia,6.3
201502,Hawaii,3.9
201502,Idaho,4.9
201502,Illinois,6.5
201502,Indiana,5.6
201502,Iowa,4.4
201502,Kansas,4.6
201502,Kentucky,5.8
201502,Louisiana,6.5
201502,Maine,5.8
201502,Maryland,5.7
201502,Massachusetts,5.5
201502,Michigan,6.1
201502,Minnesota,4.5
201502,Mississippi,6.6
201502,Missouri,6.1
201502,Montana,4.9
201502,Nebraska,3.2
201502,Nevada,7.2
201502,New Hampshire,4.3
201502,New Jersey,6.8
201502,New Mexico,6.7
201502,New York,6.3
201502,North Carolina,5.9
201502,North Dakota,3.4
201502,Ohio,5.6
201502,Oklahoma,4.3
201502,Oregon,6.3
201502,Pennsylvania,5.7
201502,Rhode Island,7.2
201502,South Carolina,6.6
201502,South Dakota,3.8
201502,Tennessee,6.0
201502,Texas,4.4
201502,Utah,4.0
201502,Vermont,4.0
201502,Virginia,5.0
201502,Washington,6.3
201502,West Virginia,7.9
201502,Wisconsin,5.5
201502,Wyoming,4.4
201503,Alabama,5.9
201503,Alaska,7.1
201503,Arizona,6.0
201503,Arkansas,5.7
201503,California,6.7
201503,Colorado,4.6
201503,Connecticut,6.1
201503,Delaware,5.1
201503,District of Columbia,7.1
201503,Florida,5.4
201503,Georgia,5.9
201503,Hawaii,3.8
201503,Idaho,4.7
201503,Illinois,6.0
201503,Indiana,5.2
201503,Iowa,4.1
201503,Kansas,4.5
201503,Kentucky,5.6
201503,Louisiana,6.4
201503,Maine,5.4
201503,Maryland,5.4
201503,Massachusetts,5.2
201503,Michigan,5.9
201503,Minnesota,4.4
201503,Mississippi,6.1
201503,Missouri,5.8
201503,Montana,4.8
201503,Nebraska,3.1
201503,Nevada,7.0
201503,New Hampshire,4.0
201503,New Jersey,6.5
201503,New Mexico,6.6
201503,New York,5.7
201503,North Carolina,5.6
201503,North Dakota,3.4
201503,Ohio,5.2
201503,Oklahoma,4.1
201503,Oregon,6.1
201503,Pennsylvania,5.5
201503,Rhode Island,6.9
201503,South Carolina,6.0
201503,South Dakota,3.8
201503,Tennessee,5.8
201503,Texas,4.3
201503,Utah,3.8
201503,Vermont,4.0
201503,Virginia,4.8
201503,Washington,5.8
201503,West Virginia,7.6
201503,Wisconsin,5.3
201503,Wyoming,4.5
201504,Alabama,5.5
201504,Alaska,6.6
201504,Arizona,5.9
201504,Arkansas,5.2
201504,California,6.2
201504,Colorado,4.0
201504,Connecticut,5.7
201504,Delaware,4.8
201504,District of Columbia,6.5
201504,Florida,5.2
201504,Georgia,5.7
201504,Hawaii,3.6
201504,Idaho,4.3
201504,Illinois,5.4
201504,Indiana,4.5
201504,Iowa,3.5
201504,Kansas,4.3
201504,Kentucky,4.9
201504,Louisiana,6.1
201504,Maine,4.8
201504,Maryland,4.9
201504,Massachusetts,4.7
201504,Michigan,5.1
201504,Minnesota,3.6
201504,Mississippi,5.7
201504,Missouri,5.1
201504,Montana,4.0
201504,Nebraska,2.8
201504,Nevada,6.9
201504,New Hampshire,3.5
201504,New Jersey,5.7
201504,New Mexico,6.2
201504,New York,5.3
201504,North Carolina,5.5
201504,North Dakota,2.8
201504,Ohio,4.6
201504,Oklahoma,3.9
201504,Oregon,5.6
